Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
133,Afghanistan,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112
94,Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301
33,Algeria,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
24,Argentina,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
105,Armenia,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616
8,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
11,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
70,Azerbaijan,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914
36,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
95,Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583
53,Belarus,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457
16,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
132,Benin,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681
51,Bolivia,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
75,Bosnia and Herzegovina,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0.0
119,Botswana,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769
15,Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
112,Bulgaria,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615
124,Burkina Faso,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533
135,Burundi,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419
121,Cambodia,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092
98,Cameroon,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126
5,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
123,Chad,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952
22,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
72,China,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745
28,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399
110,Congo (Brazzaville),4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753
13,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547
65,Croatia,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002
60,Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228
25,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986
0,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
77,Dominican Republic,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372
44,Ecuador,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037
104,Egypt,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393
39,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613
63,Estonia,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
99,Ethiopia,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717
4,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
29,France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
116,Gabon,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314
109,Georgia,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188
14,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
108,Ghana,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326
85,Greece,5.033,1.24886,0.75473,0.80029,0.05822,0.0,0.04127
34,Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701
130,Guinea,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192
118,Haiti,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476
89,Honduras,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906
79,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472
2,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
102,India,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722
68,Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322
90,Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557
97,Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636
17,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
10,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728
43,Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
120,Ivory Coast,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553
64,Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294
45,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985
69,Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297
46,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
106,Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686
66,Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547
35,Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669
73,Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762
59,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
